,hashtags,urls,users,rt,uppercase_chars,min_chars,max_chars,chars,uppercase_words,min_words,max_words,words,min_words_alt,max_words_alt,words_alt,stop_words,emojis,sentiments_positive,sentiments_negative,sentiments_neutral,ner1_PERSON,ner1_ORG,ner1_LOC,ner1_MISC,ner2_PER,ner2_ORG,ner2_LOC,ner2_MISC
0,10,92,22,195,1245,11,122,14535,891,3,24,2436,3,24,2553,959,15,46,42,112,68,80,34,402,99,50,36,95
1,14,121,140,34,1798,9,121,10369,650,2,24,1867,4,25,2137,814,321,40,27,133,26,128,32,301,55,33,19,103
2,19,99,253,73,457,13,140,12253,356,3,24,2207,4,26,2576,1137,22,71,31,98,14,22,13,314,38,13,24,29
3,35,63,168,103,863,10,127,13290,557,3,23,2322,3,24,2576,1055,53,60,57,83,70,78,33,367,76,51,38,66
4,0,22,213,3,496,13,139,14768,395,3,31,2943,4,32,3177,1520,11,82,50,68,31,29,28,237,53,28,36,42
5,33,113,114,23,689,4,117,8594,315,1,26,1771,2,26,1968,721,152,73,17,110,37,39,33,292,61,12,18,79
6,76,110,84,136,999,7,134,11820,624,2,27,2184,3,27,2432,976,53,79,20,101,23,41,26,428,40,24,29,78
7,39,118,36,151,645,4,117,7685,340,1,27,1496,2,27,1683,619,123,43,25,132,31,42,18,370,61,15,15,68
8,0,7,3,45,525,9,128,9892,218,3,28,2111,3,28,2121,1145,85,65,49,86,16,20,3,102,29,7,8,44
9,0,196,0,1,6,28,79,12431,3,6,15,2075,6,15,2271,725,1,1,1,198,0,1,0,464,0,0,0,0
10,9,25,12,41,468,6,134,10890,235,2,28,2315,3,28,2361,1103,149,44,41,115,44,31,8,121,28,16,6,45
11,1,35,18,123,143,11,135,9441,79,3,30,1995,3,30,2049,1034,218,72,44,84,24,29,6,241,25,12,7,31
12,0,11,13,11,391,9,128,11262,175,3,29,2326,3,29,2349,1067,186,65,50,85,34,54,3,96,28,5,9,48
13,0,205,57,1,1235,18,116,13766,844,3,21,2214,5,22,2476,651,0,35,35,130,46,92,119,283,49,104,111,137
14,30,12,110,38,361,11,135,8843,264,2,25,1763,3,25,1907,803,248,65,36,99,19,28,22,227,33,5,11,51
15,0,57,11,85,437,12,125,13765,219,3,28,2699,3,28,2767,1475,110,108,40,52,67,15,8,192,27,17,47,36
16,2,19,3,184,845,10,122,11733,338,3,24,2355,3,24,2379,1160,164,66,44,90,48,31,8,312,38,14,11,80
17,1,19,27,29,360,5,123,8498,219,1,22,1754,1,22,1801,913,48,78,35,87,11,12,9,109,29,8,17,33
18,13,38,110,32,370,10,140,11473,295,3,27,2223,3,27,2383,1106,71,71,44,85,26,23,14,235,42,10,21,43
19,0,43,11,85,475,14,132,10412,242,3,31,2085,3,31,2139,1045,119,66,39,95,56,16,11,216,33,6,11,48
20,1,47,11,114,310,4,111,10705,189,1,25,2186,2,25,2245,1159,93,74,46,80,19,17,5,211,33,12,15,49
21,5,37,37,31,354,9,116,7693,249,3,21,1564,3,22,1642,692,70,51,35,114,35,27,5,150,52,7,6,36
