0,1
2436,1991
1867,3151
2207,1881
2322,1669
2943,2063
1771,3860
2184,2449
1496,2333
2111,2166
2075,2152
2315,1790
1995,1900
2326,2387
2214,2044
1763,1753
2699,2041
2355,2742
1754,2041
2223,2060
2085,2337
2186,1697
1564,2088
2042,2439
1976,1825
2127,1981
2112,1697
2054,1803
1862,2245
2457,2075
1775,1886
1874,2212
1814,2105
2002,1952
2527,1840
2215,2168
2287,1994
2143,1924
1765,1658
1717,2017
2428,1680
1652,1934
2042,1940
1809,2248
2154,2218
2005,2424
1981,2714
1825,1974
1808,2290
1980,1932
2401,3230
2827,2054
2320,1946
2071,2199
2023,1988
2092,2439
1880,2117
1716,2146
2322,2107
1985,2012
2137,2176
2133,2221
2088,1807
1803,2087
1915,2367
1846,1733
2109,1936
1875,2273
1737,2243
2393,2256
2320,2242
2025,2326
2280,2635
2173,1944
2095,2290
1853,1871
1911,1715
2168,2204
1931,1940
1526,2557
1843,2174
2319,1933
2156,2835
2188,1997
1697,2089
2435,2177
1999,1940
1828,2084
2163,2171
2217,2066
2112,1857
2169,2031
1812,2180
2332,2130
1953,2365
2249,2152
2646,1813
2051,2325
2216,2139
1881,2214
1772,2241
